wall_epoch_seconds	uptime_nanoseconds	history_cpu_count	history_memory_count	history_net_down_count	history_net_up_count	agent_session_count	agent_sockets	agent_watchers	agent_transports	agent_registered_tasks	agent_active_tasks	agent_registered_subprocesses	agent_active_subprocesses	agent_pending_response_routes	agent_snapshot_observers	surface_global_monitors	surface_retry_tasks	system_sleep_events	system_wake_events	session_inactive_events	session_active_events	screen_sleep_events	screen_wake_events
1784604648.013	257587466049250	1	1	1	1	200	1	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0
1784604650.112	257589565529458	1	1	1	1	200	1	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0
1784604652.212	257591665547125	1	1	1	1	200	1	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0
1784604654.312	257593765565333	1	1	1	1	200	1	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0
1784604656.412	257595865582125	1	1	1	1	200	1	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0
1784604658.512	257597965610500	1	1	1	1	200	1	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0
1784604660.612	257600065663750	1	1	1	1	200	1	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0
1784604662.712	257602165646250	1	1	1	1	200	1	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0
1784604664.812	257604265669125	1	1	1	1	200	1	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0
1784604666.912	257606365754041	1	1	1	1	200	1	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0
1784604669.013	257608466307083	1	1	1	1	200	1	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0
1784604671.113	257610565881375	1	1	1	1	200	1	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0
1784604673.212	257612665786625	1	1	1	1	200	1	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0
1784604675.314	257614767325583	1	1	1	1	200	1	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0
1784604677.413	257616866273958	2	2	2	2	200	1	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0
1784604679.245	257618698488291	2	2	2	2	200	1	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0
