wall_epoch_seconds	uptime_nanoseconds	history_cpu_count	history_memory_count	history_net_down_count	history_net_up_count	agent_session_count	agent_sockets	agent_watchers	agent_transports	agent_registered_tasks	agent_active_tasks	agent_registered_subprocesses	agent_active_subprocesses	agent_pending_response_routes	agent_snapshot_observers	surface_global_monitors	surface_retry_tasks	system_sleep_events	system_wake_events	session_inactive_events	session_active_events	screen_sleep_events	screen_wake_events
1784604647.850	257587303390833	1	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1784604649.947	257589400713708	1	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1784604652.047	257591500232708	1	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1784604654.146	257593599389666	1	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1784604656.246	257595698921625	1	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1784604658.346	257597798929125	1	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1784604660.446	257599898999541	1	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1784604662.546	257601999465208	1	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1784604664.646	257604098999458	1	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1784604666.746	257606199086541	1	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1784604668.846	257608299267875	1	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1784604670.946	257610399730750	1	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1784604673.046	257612499108625	1	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1784604675.146	257614599101500	1	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1784604677.246	257616699127791	2	2	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1784604679.074	257618527044375	2	2	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
