wall_epoch_seconds	elapsed_seconds	user_time_ns	system_time_ns	interval_cpu_percent	package_idle_wakeups	interrupt_wakeups	resident_bytes	physical_footprint_bytes	peak_footprint_bytes	thread_count	fd_count	socket_count	energy_nanojoules
1784604648	0	61700333	58855750	0	0	6	55476224	12845848	12845848	14	5	0	311078747
1784604650	2	62792208	59493166	0.086465	0	11	55181312	12567320	12862232	6	5	0	314120320
1784604652	4	63658125	59808125	0.059044	0	14	55181312	12567320	12862232	6	5	0	316134039
1784604654	6	63843541	59982291	0.017979	0	16	55181312	12567320	12862232	6	5	0	316914035
1784604656	8	64789541	60332875	0.064829	0	19	53166080	12354328	12862232	6	5	0	319662255
1784604658	10	65495666	60607791	0.049052	0	22	53166080	12354328	12862232	6	5	0	322159388
1784604660	12	68104583	62738083	0.236960	0	33	45432832	12354328	12862232	5	5	0	327996179
1784604663	15	69426791	64402958	0.099569	0	36	46727168	12354328	12862232	5	5	0	334879143
1784604665	17	71426500	65705291	0.165102	0	41	46841856	12354328	12862232	5	5	0	343364160
1784604667	19	72746250	66792958	0.120371	0	43	46743552	12337944	12862232	5	5	0	348255581
1784604669	21	73704125	67549708	0.085731	0	45	45842432	12370712	12862232	5	5	0	351781326
1784604671	23	74499958	68098916	0.067252	0	47	45809664	12370712	12862232	5	5	0	355055145
1784604673	25	75404000	68542708	0.067392	0	49	45891584	12370712	12862232	5	5	0	358715757
1784604675	27	76713541	69766833	0.126683	0	52	46989312	12403480	12862232	5	5	0	362454203
1784604677	29	78072333	70952375	0.127217	0	55	47104000	12403480	12862232	5	5	0	368521772
